id,longitude,latitude,address,postcode
96600,-1.513223,53.799889,Torre Road Leeds West Yorkshire,LS9 7QL
50766,-1.544678,53.795047,Swinegate Leeds West Yorkshire,LS1 4AG
96636,-1.582697,53.777273,"City West Business Park The Blvd, Holbeck Leeds West Yorkshire",LS12 6BG
101478,-1.641668,53.840262,Church Lane Horseforth Leeds West Yorkshire,LS18 5LA
101538,-1.479809,53.74724,Butcher Lane Leeds West Yorkshire,LS26 0DB
101539,-1.598276,53.743019,High Street Leeds West Yorkshire,LS27 8AQ
101908,-1.631968,53.748327,Unit 1A Plantation Way Leeds West Yorkshire,LS27 7FP
105628,-1.480458,53.778126,Temple Green Park and RIde  Elland Road Leeds West Yorkshire,LS9 0PS
96183,-1.546969,53.804981,Woodhouse Lane Leeds West Yorkshire,LS2 3AX
101501,-1.518032,53.767563,Stourton Park and Ride Belle Isle Leeds West Yorkshire,LS10 3DD
108282,-1.556221,53.797649,Castle Street Leeds West Yorkshire,LS1 4UE
120098,-1.591225,53.837599,Weetwood Approach Leeds West Yorkshire,LS16 5PS
123328,-1.544626,53.794065,"Sovereign Square, Swinegate, Leeds West Yorkshire",LS1 4AG
19572,-1.6018,53.739452,Quarry Court High Street Morley Leeds West Yorkshire,LS27 0BY
19608,-1.620122,53.742163,Bruntcliffe Road Morley Leeds West Yorkshire,LS27 0LF
19613,-1.532585,53.805428,Bristol Street Leeds West Yorkshire,LS7 1DH
125598,-1.449285,53.870908,12 Syke Grn Scarcroft Leeds West Yorkshire,LS14 3BS
